ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
1352,37.8618859,23.7628199,2,ΓΛΥΦΑΔΑΣ,1,ΣΟΛΩΜΟΥ 2  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16674,ΣΟΛΩΜΟΥ,9 ΔΗΜΟΤΙΚΟ,ΓΛΥΦΑΔΑ,16674.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"33421,32",122.0,117.0
1353,37.9810249,23.6492914,6,ΚΟΡΥΔΑΛΛΟΥ,5/8,ΣΟΛΩΜΟΥ 6  Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18122,ΣΟΛΩΜΟΥ,ΔΙΚΤΥΟ ΠΥΡΚΑΙΑΣ (5 ΛΥΚΕΙΟ),ΑΝΩ ΚΟΡΥΔΑΛΛΟΣ,18122.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"19722,3",0.0,0.0
1354,38.0174096,23.706852,81,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΣΟΛΩΜΟΥ 81  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12133,ΣΟΛΩΜΟΥ,36 ΔΗΜΟΤΙΚΟ,ΜΠΟΥΡΝΑΖΙ,12133.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20610,61",59.0,42.0
1355,37.9513125,23.6743279,9,ΜΟΣΧΑΤΟΥ,1,ΣΟΛΩΜΟΥ 9  Δήμος ΜΟΣΧΑΤΟΥ ΤΚ 18345,ΣΟΛΩΜΟΥ,3 ΝΗΠΙΑΓΩΓΕΙΟ,ΜΕΤΑΜΟΡΦΩΣΗ,18345.0,ΜΟΣΧΑΤΟΥ – ΤΑΥΡΟΥ,39507.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23247,72",24.0,26.0
1356,37.9166114999999,23.709675,13,ΑΛΙΜΟΥ,5/8,ΣΟΛΩΝΟΣ 13  Δήμος ΑΛΙΜΟΥ ΤΚ 17455,ΣΟΛΩΝΟΣ,5 ΝΗΠΙΑΓΩΓΕΙΟ,ΚΑΛΑΜΑΚΙ,17455.0,ΑΛΙΜΟΥ,42872.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"30010,81",26.0,20.0
1357,37.9693611,23.6788727,2,ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ,1,ΣΟΛΩΝΟΣ 2  Δήμος ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ ΤΚ 18233,ΣΟΛΩΝΟΣ,Β' ΔΗΜΟΤΙΚΟ ΡΕΝΤΗ,Π. ΚΟΚΚΙΝΙΑ,18233.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"18159,49",0.0,0.0
1358,37.8682056,23.7522502,7,ΓΛΥΦΑΔΑΣ,1,ΣΟΛΩΝΟΣ 7  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16675,ΣΟΛΩΝΟΣ,13 ΔΗΜΟΤΙΚΟ,ΓΛΥΦΑΔΑ,16675.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"35749,24",132.0,131.0
1359,37.988667,23.7298816,5,ΑΘΗΝΑΙΩΝ,1,ΣΟΥΚΑ Γ. 5  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11522,ΣΟΥΚΑ Γ.,24 ΓΕΛ - ΓΥΜΝΑΣΙΟ,ΑΒΕΡΩΦ,11522.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21806,86",0.0,0.0
1360,38.0410538,23.6728398,141,ΠΕΤΡΟΥΠΟΛΕΩΣ,1.5,ΣΟΥΛΙΟΥ 141  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,ΣΟΥΛΙΟΥ,9 ΔΗΜΟΤΙΚΟ,ΠΕΤΡΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",0.0,0.0
1361,37.9303921,23.7385463,49,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1,ΣΟΥΛΙΟΥ 49  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17342,ΣΟΥΛΙΟΥ,ΣΧ.ΕΠ.Α/ΘΜΙΑΣ ΕΚ.7 ΔΗΜΟΤΙΚΟ,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ,17342.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23033,99",160.0,150.0
1362,38.0461254,23.6763735,50,ΠΕΤΡΟΥΠΟΛΕΩΣ,1,ΣΟΥΛΙΟΥ 50  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,ΣΟΥΛΙΟΥ,1 ΔΗΜΟΤΙΚΟ,ΠΕΤΡΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",170.0,137.0
1363,38.0000196,23.6774893,56,ΑΙΓΑΛΕΩ,2,ΣΟΥΛΙΟΥ 56 Ξ Δήμος ΑΙΓΑΛΕΩ ΤΚ 12243,ΣΟΥΛΙΟΥ,4-6 ΓΥΜΝΑΣΙΟ & 5 ΛΥΚΕΙΟ,ΑΝΑΓΕΝΝΗΣΗ,12243.0,ΑΙΓΑΛΕΩ,64828.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20051,91",0.0,0.0
1364,38.0906248,23.7454093,8,ΑΧΑΡΝΩΝ,1,ΣΟΥΡΛΑΝΤΖΗ ΜΙΧ. 8  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13678,ΣΟΥΡΛΑΝΤΖΗ ΜΙΧ.,2 ΓΥΜΝΑΣΙΟ ΛΥΚΕΙΟ ΑΧΑΡΝΩΝ,ΛΑΘΕΑ,13678.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,,0.0,0.0
1365,38.0457346,23.7646633,3,ΗΡΑΚΛΕΙΟΥ,5/8,ΣΟΦΙΑΣ 3  Δήμος ΗΡΑΚΛΕΙΟΥ ΤΚ 14122,ΣΟΦΙΑΣ,,ΑΓ.ΤΡΙΑΔΑ,14122.0,ΗΡΑΚΛΕΙΟΥ,50495.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"24674,11",73.0,87.0
1366,37.981133,23.6352684,41,ΝΙΚΑΙΑΣ,,ΣΟΦΟΚΛΕΟΥΣ 41  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18452,ΣΟΦΟΚΛΕΟΥΣ,,ΝΕΑΠΟΛΗ,18452.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"19739,51",64.5,63.0
1367,37.9445808,23.7591281,20,ΗΛΙΟΥΠΟΛΕΩΣ,5/8,ΣΟΦΟΥΛΗ ΘΕΜ. 20  Δήμος ΗΛΙΟΥΠΟΛΕΩΣ ΤΚ 16344,ΣΟΦΟΥΛΗ ΘΕΜ.,3 ΔΗΜΟΤΙΚΟ,ΗΛΙΟΥΠΟΛΗ,16344.0,ΗΛΙΟΥΠΟΛΕΩΣ,76708.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21908,81",162.0,154.0
1368,38.0920974,23.7431048,1,ΑΧΑΡΝΩΝ,,ΣΠΑΡΤΗΣ 1  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13678,ΣΠΑΡΤΗΣ,,ΛΑΘΕΑ,13678.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,,119.0,103.33333333333333
1369,37.9573139,23.6312662,138,ΠΕΙΡΑΙΩΣ,5/8,ΣΠΑΡΤΗΣ 138  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18546,ΣΠΑΡΤΗΣ,,ΤΑΜΠΟΥΡΙΑ,18546.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"19560,32",96.0,95.0
1370,37.9596461,23.6310422,169,ΠΕΙΡΑΙΩΣ,5/8,ΣΠΑΡΤΗΣ 169  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18546,ΣΠΑΡΤΗΣ,4 ΓΥΜΝ ΠΕΙΡΑΙΑ,ΤΑΜΠΟΥΡΙΑ,18546.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"19560,32",89.0,74.0
1371,38.0206936,23.7193291,2,ΑΓ. ΑΝΑΡΓΥΡΩΝ,1,ΣΠΑΡΤΗΣ 2  Δήμος ΑΓ. ΑΝΑΡΓΥΡΩΝ ΤΚ 13561,ΣΠΑΡΤΗΣ,6  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΚΟΚΚΙΝΟΠΟΥΛΟΥ,13561.0,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20219,73",122.0,114.0
1372,37.9636945,23.6309492,203,ΠΕΙΡΑΙΩΣ,5/8,ΣΠΑΡΤΗΣ 203  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18546,ΣΠΑΡΤΗΣ,4 ΓΥΜΝΑΣΙΟ,ΤΑΜΠΟΥΡΙΑ,18546.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"19560,32",89.0,74.0
1373,37.9481119,23.7016253,21,ΚΑΛΛΙΘΕΑΣ,1.5,ΣΠΑΡΤΗΣ 21  Δήμος ΚΑΛΛΙΘΕΑΣ ΤΚ 17673,ΣΠΑΡΤΗΣ,15 ΔΗΜΟΤΙΚΟ,ΚΑΛΛΙΘΕΑ,17673.0,ΚΑΛΛΙΘΕΑΣ,96118.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"18578,03",0.0,0.0
1374,38.0332751,23.6866481,56,ΠΕΤΡΟΥΠΟΛΕΩΣ,5/8,ΣΠΑΡΤΗΣ 56  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,ΣΠΑΡΤΗΣ,10 ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,ΠΕΤΡΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",24.0,22.0
1375,37.960642,23.6990187,6,ΚΑΛΛΙΘΕΑΣ,1,ΣΠΕΤΣΩΝ 6  Δήμος ΚΑΛΛΙΘΕΑΣ ΤΚ 17676,ΣΠΕΤΣΩΝ,6 ΝΗΠΙΑΓΩΓΕΙΟ,ΗΛ.ΣΤΑΘΜΟΣ,17676.0,ΚΑΛΛΙΘΕΑΣ,96118.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21376,89",12.0,12.0
1376,37.9950311,23.7559443,26,ΑΘΗΝΑΙΩΝ,5/8,ΣΠΥΡΙΔΟΓΙΑΝΝΗ 26  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11522,ΣΠΥΡΙΔΟΓΙΑΝΝΗ,105 ΔΗΜΟΤΙΚΟ / 25 &138 ΝΗΠ/ΓΕΙΟ,ΑΒΕΡΩΦ,11522.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21806,86",149.0,148.0
1377,37.9311193,23.6277171,27,ΠΕΙΡΑΙΩΣ,1.5,ΣΠΥΡΟΠΟΥΛΟΥ 27  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18539,ΣΠΥΡΟΠΟΥΛΟΥ,54 ΔΗΜΟΤΙΚΟ & 25 ΝΗΠΙΑΓΩΓΕΙΟ,ΚΑΛΛΙΠΟΛΗ,18539.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"23290,9",0.0,0.0
1378,37.9609193,23.654336,11,ΠΕΙΡΑΙΩΣ,1.5,ΣΤΑΗ Β. 11  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18542,ΣΤΑΗ Β.,44 ΔΗΜΟΤΙΚΟ,Π. ΚΟΚΚΙΝΙΑ,18542.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"17908,94",63.0,45.0
1379,37.9966599,23.6470302,10,ΚΟΡΥΔΑΛΛΟΥ,1.5,ΣΤΑΜΑΤΟΠΟΥΛΟΥ ΠΑΝ. 10  Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18122,ΣΤΑΜΑΤΟΠΟΥΛΟΥ ΠΑΝ.,4-5 ΓΥΜΝΑΣΙΟ ΚΟΡ/ΛΟΥ,ΑΝΩ ΚΟΡΥΔΑΛΛΟΣ,18122.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"19722,3",0.0,0.0
1380,38.0932898999999,23.7417426,22,ΑΧΑΡΝΩΝ,1,ΣΤΑΣΗ Ν. 22  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13678,ΣΤΑΣΗ Ν.,2ΓΥΜΝΑΣΙΟ ΛΥΚΕΙΟ ΑΧΑΡΝΩΝ,ΛΑΘΕΑ,13678.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,,0.0,0.0
1381,37.961807,23.6747575,1,ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ,5/8,ΣΤΑΥΡΑΚΗ Ν. 1  Δήμος ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ ΤΚ 18233,ΣΤΑΥΡΑΚΗ Ν.,4 ΕΚ ΠΕΙΡΑΙΑ(ΠΑΡΑΡΤΗΜΑ ΡΕΝΤΗ),ΑΓ. Ι. ΡΕΝΤΗΣ,18233.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"18159,49",29.0,37.0
1382,37.9567416,23.7216571,21,ΑΘΗΝΑΙΩΝ,5/8,ΣΤΟΥΑΡΤ 21  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11745,ΣΤΟΥΑΡΤ,103 ΔΗΜΟΤΙΚΟ,ΑΓ. ΣΩΣΤΗΣ,11745.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"20527,47",69.0,63.0
1383,38.0317118,23.7243889,1,ΑΓ. ΑΝΑΡΓΥΡΩΝ,5/8,ΣΤΡΑΤΑΡΧΟΥ ΠΑΠΑΓΟΥ ΑΛ. 1  Δήμος ΑΓ. ΑΝΑΡΓΥΡΩΝ ΤΚ 13561,ΣΤΡΑΤΑΡΧΟΥ ΠΑΠΑΓΟΥ ΑΛ.,1 ΕΝΙΑΙΟ ΛΥΚΕΙΟ,ΑΓ. ΑΝΑΡΓΥΡΟΙ,13561.0,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20219,73",125.0,129.0
1384,37.9357210999999,23.7295198,23,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1,ΣΤΡΑΤΑΡΧΟΥ ΠΑΠΑΓΟΥ ΑΛ. 23  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17343,ΣΤΡΑΤΑΡΧΟΥ ΠΑΠΑΓΟΥ ΑΛ.,ΣΧΟΛΙΚΗ ΕΠΙΤΡΟΠΗ Β/ΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ,ΑΓ. ΔΗΜΗΤΡΙΟΣ,17343.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21641,72",0.0,0.0
1385,38.0563575,23.8259775,55,ΑΜΑΡΟΥΣΙΟΥ,5/8,ΣΤΡΑΤΑΡΧΟΥ ΠΑΠΑΓΟΥ ΑΛ. 55  Δήμος ΑΜΑΡΟΥΣΙΟΥ ΤΚ 15126,ΣΤΡΑΤΑΡΧΟΥ ΠΑΠΑΓΟΥ ΑΛ.,7° ΝΗΠΙΑΓΩΓΕΙΟ,ΝΕΑ ΛΕΣΒΟΣ,15126.0,ΑΜΑΡΟΥΣΙΟΥ,70519.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"30618,9",16.0,18.0
1386,37.938703,23.7141892,22,ΝΕΑΣ ΣΜΥΡΝΗΣ,5/8,ΣΤΡΑΤΗΓΟΥ ΒΕΛΙΣΣΑΡΙΟΥ 22  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17123,ΣΤΡΑΤΗΓΟΥ ΒΕΛΙΣΣΑΡΙΟΥ,5 ΝΗΠΙΑΓΩΓΕΙΟ,ΝΕΑ ΣΜΥΡΝΗ,17123.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26353,85",13.0,33.0
1387,38.0583879,23.7902709,38,ΠΕΥΚΗΣ,5/8,ΣΤΡΑΤΗΓΟΥ ΔΑΓΚΛΗ 38  Δήμος ΠΕΥΚΗΣ ΤΚ 15121,ΣΤΡΑΤΗΓΟΥ ΔΑΓΚΛΗ,1 ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΥΚΗΣ,ΠΕΥΚΗ,15121.0,ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,30996.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"30867,21",22.0,23.0
1388,38.0368854,23.6739002,38,ΠΕΤΡΟΥΠΟΛΕΩΣ,5/8,ΣΤΡΑΤΗΓΟΥ ΚΕΦΑΛΑ ΠΑΝΑΓΙΩΤΗ 38  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,ΣΤΡΑΤΗΓΟΥ ΚΕΦΑΛΑ ΠΑΝΑΓΙΩΤΗ,3 ΛΥΚΕΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,ΚΗΠΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",151.0,166.0
1389,38.0418228,23.8245621,1,ΑΜΑΡΟΥΣΙΟΥ,5/8,ΣΤΡΑΤΗΓΟΥ ΜΑΚΡΥΓΙΑΝΝΗ 1  Δήμος ΑΜΑΡΟΥΣΙΟΥ ΤΚ 15126,ΣΤΡΑΤΗΓΟΥ ΜΑΚΡΥΓΙΑΝΝΗ,15 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΣΙΣΜΑΝΟΓΛΕΙΟ,15126.0,ΑΜΑΡΟΥΣΙΟΥ,70519.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"30618,9",240.0,260.0
1390,38.0476296,23.8696276,4,ΚΟΙΝ. ΠΕΝΤΕΛΗΣ,5/8,ΣΤΡΑΤΗΓΟΥ ΜΑΚΡΥΓΙΑΝΝΗ 4  Δήμος ΚΟΙΝ. ΠΕΝΤΕΛΗΣ ΤΚ 15236,ΣΤΡΑΤΗΓΟΥ ΜΑΚΡΥΓΙΑΝΝΗ,ΔΗΜ. ΣΧΟΛ. Π. ΠΕΝΤΕΛΗΣ,ΠΕΝΤΕΛΗ,15236.0,ΠΕΝΤΕΛΗΣ,35439.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"40006,87",0.0,0.0
1391,37.9414952,23.70457,37,ΝΕΑΣ ΣΜΥΡΝΗΣ,1.5,ΣΤΡΑΤΗΓΟΥ ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ 37  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17122,ΣΤΡΑΤΗΓΟΥ ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ,12 ΔΗΜΟΤΙΚΟ,ΝΕΑ ΣΜΥΡΝΗ,17122.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26456,48",163.0,170.0
1392,37.9424018,23.7034914,54,ΝΕΑΣ ΣΜΥΡΝΗΣ,1,ΣΤΡΑΤΗΓΟΥ ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ 54  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17122,ΣΤΡΑΤΗΓΟΥ ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ,6 ΝΗΠΙΑΓΩΓΕΙΟ,ΝΕΑ ΣΜΥΡΝΗ,17122.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26456,48",0.0,0.0
1393,37.9640643,23.7026802,1,ΤΑΥΡΟΥ,1,ΣΥΓΓΡΟΥ 1  Δήμος ΤΑΥΡΟΥ ΤΚ 17778,ΣΥΓΓΡΟΥ,,ΤΑΥΡΟΣ,17778.0,ΜΟΣΧΑΤΟΥ – ΤΑΥΡΟΥ,39507.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"19006,42",85.5,73.0
1394,38.0693,23.8155625,7,ΚΗΦΙΣΙΑΣ,1,ΣΥΓΓΡΟΥ 7  Δήμος ΚΗΦΙΣΙΑΣ ΤΚ 14562,ΣΥΓΓΡΟΥ,10 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΛΩΝΙΑ,14562.0,ΚΗΦΙΣΙΑΣ,72860.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"66521,38",15.0,9.0
1395,38.0070732,23.6661917,76,ΧΑΙΔΑΡΙΟΥ,1,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΓΙΑΝΝΟΥΛΗ 76  Δήμος ΧΑΙΔΑΡΙΟΥ ΤΚ 12461,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΓΙΑΝΝΟΥΛΗ,Α ΝΗΠΙΑΓ,ΧΑΙΔΑΡΙ,12461.0,ΧΑΪΔΑΡΙΟΥ,46983.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21504,68",0.0,0.0
1396,37.9086645,23.7535443,10,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,5/8,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΔΑΒΑΚΗ 10  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16451,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΔΑΒΑΚΗ,2 ΕΚ Δ ΑΘΗΝΑΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16451.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23826,53",0.0,0.0
1397,37.9938378,23.7706636,18,ΑΘΗΝΑΙΩΝ,1,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΔΑΒΑΚΗ 18  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11526,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΔΑΒΑΚΗ,57 ΓΕΛ - ΓΥΜΝΑΣΙΟ,ΕΡΥΘΡΟΣ ΣΤΑΥΡΟΣ,11526.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"24925,27",0.0,0.0
1398,37.9712211,23.6223136,2,ΚΕΡΑΤΣΙΝΙΟΥ,1.5,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΔΑΒΑΚΗ 2  Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18757,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΔΑΒΑΚΗ,9 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΑΜΦΙΑΛΗ,18757.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19724,01",128.0,129.0
1399,38.0446732,23.6967461,50,ΙΛΙΟΥ,2,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΔΑΒΑΚΗ 50  Δήμος ΙΛΙΟΥ ΤΚ 13123,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΔΑΒΑΚΗ,6 ΔΗΜΟΤΙΚΟ,ΙΛΙΟΝ,13123.0,ΙΛΙΟΥ,83523.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21002,37",191.0,163.0
1400,37.9719044,23.6213535,2,ΚΕΡΑΤΣΙΝΙΟΥ,5/8,ΣΥΡΟΥ 2  Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18758,ΣΥΡΟΥ,14 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΜΦΙΑΛΗ,18758.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19940,8",26.0,23.0
1401,37.9913925,23.7192354,2,ΑΘΗΝΑΙΩΝ,1,ΣΥΡΡΑΚΟΥ 2  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10444,ΣΥΡΡΑΚΟΥ,67 ΔΗΜΟΤΙΚΟ,ΚΟΛΩΝΟΣ,10444.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"18639,1",124.0,132.0
1402,37.8347801,23.8095674,19,ΒΑΡΗΣ,5/8,ΣΦΑΚΤΗΡΙΑΣ 19 Α Δήμος ΒΑΡΗΣ ΤΚ 16672,ΣΦΑΚΤΗΡΙΑΣ,3 ΝΗΠΙΑΓΩΓΕΙΟ ΒΑΡΗΣ,ΜΗΛΑΔΕΖΑ,16672.0,ΒΑΡΗΣ – ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,50585.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"31511,79",20.0,25.0
